Stock,Predict,Yield (%)
JMART.BK,68.615074,13.883940248962666
GLOBAL.BK,23.656244,6.559653995560177
CKP.BK,5.324008,5.425897008238803
STA.BK,25.577982,5.259188489974797
EGCO.BK,174.67451,4.909615615615614
